cluster	RMSD	slice
0	1.260404109954834	shaved_0ns
1	1.041915774345398	shaved_0ns
2	0.8105180263519287	shaved_0ns
3	0.9564542770385742	shaved_0ns
4	0.9554337859153748	shaved_0ns
0	1.2508606910705566	shaved_20ns
1	1.0291866064071655	shaved_20ns
2	0.7800328731536865	shaved_20ns
3	0.9571676254272461	shaved_20ns
4	0.9498490691184998	shaved_20ns
0	1.2576909065246582	shaved_40ns
1	1.0124036073684692	shaved_40ns
2	0.7659236192703247	shaved_40ns
3	0.9695525169372559	shaved_40ns
4	0.9599103927612305	shaved_40ns
0	1.2647016048431396	shaved_60ns
1	0.9958159327507019	shaved_60ns
2	0.7584196329116821	shaved_60ns
3	0.966224730014801	shaved_60ns
4	0.946837306022644	shaved_60ns
0	1.2679930925369263	shaved_80ns
1	0.9865692853927612	shaved_80ns
2	0.7497477531433105	shaved_80ns
3	0.9412449598312378	shaved_80ns
4	0.9611319303512573	shaved_80ns
0	1.2622740268707275	shaved_100ns
1	0.9531877040863037	shaved_100ns
2	0.7403298616409302	shaved_100ns
3	0.945641815662384	shaved_100ns
4	0.9617238640785217	shaved_100ns
0	1.2462162971496582	shaved_120ns
1	0.9255077838897705	shaved_120ns
2	0.7428281307220459	shaved_120ns
3	0.960735559463501	shaved_120ns
4	0.953964352607727	shaved_120ns
0	1.2430459260940552	shaved_140ns
1	0.867766797542572	shaved_140ns
2	0.7309526801109314	shaved_140ns
3	0.948236346244812	shaved_140ns
4	0.9651100039482117	shaved_140ns
0	1.2357509136199951	shaved_160ns
1	0.838505744934082	shaved_160ns
2	0.7402223348617554	shaved_160ns
3	0.9383214712142944	shaved_160ns
4	0.980328381061554	shaved_160ns
0	1.2191718816757202	shaved_180ns
1	0.8111990094184875	shaved_180ns
2	0.7346370816230774	shaved_180ns
3	0.8924097418785095	shaved_180ns
4	0.9829292893409729	shaved_180ns
